"fips","democratic_raw_votes_1932","democratic_raw_votes_1936","democratic_raw_votes_1940","democratic_raw_votes_1944","democratic_raw_votes_1948","democratic_raw_votes_1952","democratic_raw_votes_1956","democratic_raw_votes_1960","democratic_raw_votes_1964","democratic_raw_votes_1968","democratic_raw_votes_1972","democratic_raw_votes_1976","democratic_raw_votes_1980","democratic_raw_votes_1984","democratic_raw_votes_1988","democratic_raw_votes_1992","democratic_raw_votes_1996","democratic_raw_votes_2000","democratic_raw_votes_2004","democratic_raw_votes_2008","democratic_raw_votes_2012","democratic_raw_votes_2016","democratic_raw_votes_2020","pres_raw_county_vote_totals_two_party_1932","pres_raw_county_vote_totals_two_party_1936","pres_raw_county_vote_totals_two_party_1940","pres_raw_county_vote_totals_two_party_1944","pres_raw_county_vote_totals_two_party_1948","pres_raw_county_vote_totals_two_party_1952","pres_raw_county_vote_totals_two_party_1956","pres_raw_county_vote_totals_two_party_1960","pres_raw_county_vote_totals_two_party_1964","pres_raw_county_vote_totals_two_party_1968","pres_raw_county_vote_totals_two_party_1972","pres_raw_county_vote_totals_two_party_1976","pres_raw_county_vote_totals_two_party_1980","pres_raw_county_vote_totals_two_party_1984","pres_raw_county_vote_totals_two_party_1988","pres_raw_county_vote_totals_two_party_1992","pres_raw_county_vote_totals_two_party_1996","pres_raw_county_vote_totals_two_party_2000","pres_raw_county_vote_totals_two_party_2004","pres_raw_county_vote_totals_two_party_2008","pres_raw_county_vote_totals_two_party_2012","pres_raw_county_vote_totals_two_party_2016","pres_raw_county_vote_totals_two_party_2020","dem_two_party_vote_share_1932","dem_two_party_vote_share_1936","dem_two_party_vote_share_1940","dem_two_party_vote_share_1944","dem_two_party_vote_share_1948","dem_two_party_vote_share_1952","dem_two_party_vote_share_1956","dem_two_party_vote_share_1960","dem_two_party_vote_share_1964","dem_two_party_vote_share_1968","dem_two_party_vote_share_1972","dem_two_party_vote_share_1976","dem_two_party_vote_share_1980","dem_two_party_vote_share_1984","dem_two_party_vote_share_1988","dem_two_party_vote_share_1992","dem_two_party_vote_share_1996","dem_two_party_vote_share_2000","dem_two_party_vote_share_2004","dem_two_party_vote_share_2008","dem_two_party_vote_share_2012","dem_two_party_vote_share_2016","dem_two_party_vote_share_2020","county.county_name","county.state"
"01081",1989,2182,2566,2012,1731,2803,3302,3759,1602,7684,3622,8427,9606,9077,9078,13770,12919,14574,16227,21498,21381,21230,27860,2092,2275,2669,2146,1989,4429,4888,6054,7516,10056,15193,18311,20588,25834,26258,30655,30904,37007,44199,53728,53575,55847,70081,0.950764818355641,0.959120879120879,0.961408767328587,0.937558247903076,0.870286576168929,0.63287423797697,0.675531914893617,0.620911793855302,0.213145290047898,0.76412092283214,0.238399262818403,0.460215171208563,0.466582475228288,0.351358674614849,0.345723208165131,0.449192627630077,0.418036500129433,0.393817385899965,0.367135003054368,0.400126563430613,0.399085394307046,0.380145755367343,0.39753998944079,"LEE","AL"
"01083",2668,2861,2941,2605,1853,3844,4146,4147,3027,8416,2079,8803,8180,5410,5455,8087,8045,8992,9126,9536,9829,9468,13672,2775,2969,3036,2734,1965,4393,4735,5178,5404,9286,8267,11800,12754,13833,14541,17949,18907,23196,28828,33134,35124,38535,48312,0.961441441441441,0.963624115863927,0.96870882740448,0.952816386247257,0.943002544529262,0.875028454359208,0.875607180570222,0.800888373889533,0.560140636565507,0.906310575059229,0.251481795088908,0.746016949152542,0.641367414144582,0.391093761295453,0.375146138504917,0.450554348431668,0.425503781668165,0.387653043628212,0.316567226307756,0.287801050280678,0.279837148388566,0.245698715453484,0.282993873157808,"LIMESTONE","AL"
"01085",1073,1204,1132,803,752,809,623,796,310,1816,2559,3732,3577,3567,3328,3500,3970,4557,4233,5449,5747,4883,4972,1091,1214,1144,819,765,1440,949,1229,1858,2047,4549,5353,5101,5196,4733,4828,5339,6195,6019,7258,7503,6634,6808,0.983501374885426,0.991762767710049,0.989510489510489,0.98046398046398,0.983006535947712,0.561805555555556,0.656480505795574,0.647681041497152,0.166846071044133,0.887151929653151,0.562541217850077,0.697179151877452,0.701235051950598,0.6864896073903,0.703148109021762,0.724937862468931,0.743584941000187,0.735593220338983,0.703272968931716,0.75075778451364,0.765960282553645,0.736056677720832,0.730317273795535,"LOWNDES","AL"
"01087",905,1146,1259,1032,1098,1457,1024,1327,2973,1608,3636,5915,7028,7857,6351,7253,7018,7665,7800,9450,9045,7566,7108,961,1185,1300,1113,1208,2078,2091,2206,4831,1867,5567,7302,8287,9400,7655,8387,8005,8756,9370,10846,10376,8997,8649,0.941727367325702,0.967088607594937,0.968461538461538,0.92722371967655,0.908940397350993,0.701154956689124,0.489717838354854,0.601541251133273,0.615400538190851,0.861274772362078,0.653134542841746,0.810052040536839,0.848075298660553,0.835851063829787,0.829653821032005,0.864790747585549,0.876702061211743,0.875399725902238,0.832443970117396,0.871288954453255,0.871723207401696,0.840946982327442,0.821829113192277,"MACON","AL"
"01089",4800,5662,5515,4951,2947,8216,9001,10959,13217,29760,13108,35497,30469,26881,25800,38974,42259,48199,52644,64117,62015,62822,87286,5359,6176,6072,5402,3413,9839,11994,16227,27496,42979,52007,56456,61073,77309,79375,90418,92649,110350,129817,151082,152899,152342,190066,0.89568949430864,0.916774611398964,0.908267457180501,0.916512402813773,0.863463228830941,0.835044211810143,0.750458562614641,0.675355888334258,0.480688100087285,0.692431187324042,0.252042994212318,0.628755136743659,0.498894765280893,0.347708546223596,0.32503937007874,0.431042491539295,0.456119332102883,0.436782963298595,0.405524700154833,0.424385433076078,0.405594542802765,0.412374788305261,0.459240474361538,"MADISON","AL"
"01091",2097,2287,2284,1746,1873,1790,1858,1436,789,5167,2645,4731,5178,4811,4402,5632,4899,4841,5037,5926,6167,5615,5488,2148,2320,2354,1835,1940,3152,2867,2675,4466,5627,7801,8572,9226,10072,8643,10102,8912,9531,10292,11442,11503,10848,10831,0.976256983240223,0.985775862068966,0.970263381478335,0.95149863760218,0.965463917525773,0.567893401015228,0.648064178583886,0.536822429906542,0.17666815942678,0.91825128843078,0.339059094987822,0.551913205786281,0.56123997398656,0.477660841938046,0.509313895638089,0.557513363690358,0.549708258527828,0.507921519252964,0.489409249902837,0.517916448173396,0.536121011909937,0.517606932153392,0.506693749422953,"MARENGO","AL"
"01093",2327,2655,2654,1856,1646,2850,2850,3099,1747,6351,986,6244,5450,3918,4505,6167,5049,4600,3808,2600,2249,1432,1463,2873,3566,3735,3185,2459,4339,5386,6038,5713,7885,6913,9280,10632,10689,10460,11859,9791,11510,12791,12136,11946,12706,13668,0.809954751131222,0.744531688166012,0.710575635876841,0.582731554160126,0.669377795851972,0.656833371744642,0.529149647233568,0.51324942033786,0.305793803605811,0.805453392517438,0.142629827860553,0.672844827586207,0.512603461249059,0.36654504630929,0.430688336520076,0.520026983725441,0.515677663160045,0.399652476107732,0.297709326870456,0.214238628872775,0.18826385400971,0.112702660160554,0.107038337723149,"MARION","AL"
"01095",3922,4208,4142,3356,2500,6011,6312,6595,4428,12653,3894,13696,10854,7704,7357,10421,8722,10381,8452,7038,6299,4917,5943,4826,5133,5055,4556,3370,8080,9383,9981,10140,15319,15984,19702,19013,20034,19505,22670,21045,27465,31235,32765,32166,34150,39134,0.812681309573145,0.819793493083967,0.819386745796241,0.736611062335382,0.741839762611276,0.743935643564356,0.672705957582863,0.660755435327122,0.436686390532544,0.82596775246426,0.243618618618619,0.695157851994721,0.570872560879398,0.384546271338724,0.377185337093053,0.459682399647111,0.414445236398194,0.377971964318223,0.270593885064831,0.214802380589043,0.195827892806069,0.14398243045388,0.151862830275464,"MARSHALL","AL"
"01097",9658,11165,11477,9441,10831,14473,16648,28626,20488,61759,20694,50264,46180,47252,45524,54962,54749,58640,63732,82181,78760,72186,79474,11363,12237,13357,12265,13516,28626,37287,52161,69981,72137,83333,104099,113695,129175,117727,127897,121524,136802,155746,180230,173653,167302,180717,0.849951597289448,0.912396829288224,0.859249831549,0.769751324908276,0.801346552234389,0.505589324390414,0.446482688336418,0.548800828204981,0.292765179120047,0.856134854512941,0.248328993315973,0.482848058098541,0.406174414002375,0.365798335591252,0.386691243300178,0.429736428532335,0.450520061880781,0.428648703966316,0.409204730779603,0.455978471952505,0.45354816789805,0.431471231664893,0.43977046985065,"MOBILE","AL"
"01099",1972,2558,2953,1991,1688,2587,2069,2130,886,5162,1636,3669,4262,3725,3509,3872,3815,3741,3666,5025,4914,4332,4455,2038,2587,2993,2037,1719,3224,2828,3120,4756,5532,6791,7145,8877,9642,8888,8791,8197,8894,9497,11200,10655,10127,10602,0.967615309126595,0.988790104367994,0.986635482793184,0.977417771232204,0.98196625945317,0.80241935483871,0.731612446958982,0.682692307692308,0.186291000841043,0.933116413593637,0.240907082903843,0.513505948215535,0.480117156697082,0.386330636797345,0.39480198019802,0.440450460698442,0.465414175918019,0.4206206431302,0.386016636832684,0.448660714285714,0.461191928671985,0.427767354596623,0.420203735144312,"MONROE","AL"
